name,taxid,status,rank_info,lineage
TOBG_SAT-143,0,disagree,species,
TOBG_MED-641,0,nomatch,,
TOBG_MED-1094,0,nomatch,,
TOBG_SP-259,0,disagree,species,
TOBG_NAT-15,0,found,species,Bacteria;Bacteroidetes;Flavobacteriales;Flavobacteriia;Flavobacteriaceae;Zunongwangia;Zunongwangia profunda
TOBG_NAT-165,0,nomatch,,
TOBG_RS-423,0,nomatch,,
TOBG_MED-608,0,nomatch,,
TOBG_MED-603,0,nomatch,,
TOBG_EAC-26,0,nomatch,,
TOBG_MED-955,0,nomatch,,
TOBG_SP-3971,0,nomatch,,
TOBG_NAT-77,0,nomatch,,
TOBG_RS-388,0,nomatch,,
TOBG_EAC-28,0,found,species,Bacteria;Proteobacteria;Pseudomonadales;Gammaproteobacteria;Pseudomonadaceae;Pseudomonas;Pseudomonas pachastrellae
TOBG_ARS-1304,0,nomatch,,
TOBG_NAT-124,0,nomatch,,
TOBG_NP-958,0,nomatch,,
TOBG_NAT-501,0,nomatch,,
TOBG_NP-125,0,disagree,species,
TOBG_CPC-79,0,nomatch,,
TOBG_NP-959,0,nomatch,,
TOBG_MED-822,0,nomatch,,
TOBG_MED-808,0,nomatch,,
TOBG_MED-174,0,nomatch,,
TOBG_EAC-68,0,found,species,Bacteria;Bacteroidetes;Flavobacteriales;Flavobacteriia;Flavobacteriaceae;Gramella;Gramella flava
TOBG_SP-4366,0,nomatch,,
TOBG_SP-92,0,nomatch,,
TOBG_NP-102,0,nomatch,,
TOBG_SP-3114,0,nomatch,,
TOBG_NP-18,0,nomatch,,
TOBG_MED-602,0,nomatch,,
TOBG_SAT-2681,0,nomatch,,
TOBG_ARS-39,0,nomatch,,
TOBG_EAC-41,0,found,genus,Bacteria;Proteobacteria;Oceanospirillales;Gammaproteobacteria;Alcanivoracaceae;Alcanivorax
TOBG_EAC-15,0,disagree,species,
TOBG_NAT-193,0,nomatch,,
TOBG_SAT-222,0,nomatch,,
TOBG_ARS-9,0,found,species,Bacteria;Proteobacteria;Oceanospirillales;Gammaproteobacteria;Oceanospirillaceae;Oleibacter;Oleibacter sp. HI0075
TOBG_ARS-1019,0,nomatch,,
TOBG_MED-569,0,nomatch,,
TOBG_NP-150,0,found,species,Bacteria;Gemmatimonadetes;Gemmatimonadetes bacterium SCGC AAA240-J22
TOBG_SAT-129,0,nomatch,,
TOBG_NP-95,0,found,species,Bacteria;Proteobacteria;Pseudomonadales;Gammaproteobacteria;Pseudomonadaceae;Pseudomonas;Pseudomonas marincola
TOBG_MED-659,0,nomatch,,
TOBG_NAT-422,0,nomatch,,
TOBG_SP-270,0,nomatch,,
TOBG_EAC-85,0,nomatch,,
TOBG_SAT-1290,0,nomatch,,
TOBG_SP-4215,0,nomatch,,
TOBG_SAT-2755,0,nomatch,,
TOBG_ARS-1333,0,nomatch,,
TOBG_EAC-56,0,found,species,Bacteria;Proteobacteria;Rhodobacterales;Alphaproteobacteria;Rhodobacteraceae;Roseovarius;Roseovarius mucosus
TOBG_NP-101,0,nomatch,,
TOBG_SAT-9,0,nomatch,,
TOBG_SP-2987,0,nomatch,,
TOBG_SAT-154,0,nomatch,,
TOBG_MED-792,0,nomatch,,
TOBG_NAT-232,0,nomatch,,
TOBG_CPC-22,0,found,genus,Bacteria;Proteobacteria;Oceanospirillales;Gammaproteobacteria;Halomonadaceae;Halomonas
TOBG_NAT-216,0,found,species,Bacteria;Proteobacteria;Sphingomonadales;Alphaproteobacteria;Sphingomonadaceae;Sphingomonas;Sphingomonas sp. SKA58
TOBG_NAT-113,0,nomatch,,
TOBG_NP-989,0,nomatch,,
TOBG_CPC-83,0,nomatch,,
TOBG_NAT-141,0,nomatch,,
TOBG_SP-275,0,nomatch,,
TOBG_SAT-168,0,nomatch,,
TOBG_NAT-257,0,nomatch,,
TOBG_SAT-126,0,nomatch,,
TOBG_NAT-75,0,disagree,species,
TOBG_SP-3012,0,nomatch,,
TOBG_NP-970,0,nomatch,,
TOBG_SP-40,0,nomatch,,
TOBG_RS-652,0,nomatch,,
TOBG_SAT-29,0,nomatch,,
TOBG_NAT-143,0,found,species,Bacteria;Actinobacteria;Actinobacteria;marine actinobacterium MedAcidi-G2A
TOBG_SAT-68,0,nomatch,,
TOBG_MED-877,0,nomatch,,
TOBG_SP-245,0,found,phylum,Bacteria;Proteobacteria
TOBG_CPC-1232,0,nomatch,,
TOBG_IN-35,0,nomatch,,
TOBG_SP-253,0,nomatch,,
TOBG_NP-1391,0,nomatch,,
TOBG_SP-316,0,nomatch,,
TOBG_NP-23,0,nomatch,,
TOBG_SP-53,0,nomatch,,
TOBG_MED-755,0,nomatch,,
TOBG_NP-1159,0,found,species,Archaea;Euryarchaeota;Marine Group III euryarchaeote CG-Epi3
TOBG_SP-3034,0,nomatch,,
TOBG_NP-126,0,nomatch,,
TOBG_CPC-92,0,nomatch,,
TOBG_NP-28,0,disagree,species,
TOBG_EAC-1972,0,nomatch,,
TOBG_NAT-126,0,nomatch,,
TOBG_NP-64,0,nomatch,,
TOBG_CPC-6,0,nomatch,,
TOBG_SAT-219,0,nomatch,,
TOBG_SP-274,0,nomatch,,
TOBG_SAT-3021,0,nomatch,,
TOBG_NAT-100,0,nomatch,,
TOBG_RS-821,0,nomatch,,
TOBG_RS-604,0,nomatch,,
TOBG_NAT-150,0,nomatch,,
TOBG_EAC-103,0,found,family,Bacteria;Proteobacteria;Sphingomonadales;Alphaproteobacteria;Sphingomonadaceae
TOBG_NAT-117,0,nomatch,,
TOBG_MED-774,0,nomatch,,
TOBG_RS-434,0,nomatch,,
TOBG_NAT-190,0,nomatch,,
TOBG_SP-194,0,nomatch,,
TOBG_MED-801,0,nomatch,,
TOBG_SP-172,0,nomatch,,
TOBG_MED-139,0,found,species,Bacteria;Proteobacteria;Alphaproteobacteria;alpha proteobacterium SCGC AAA536-G10
TOBG_SP-358,0,nomatch,,
TOBG_MED-725,0,nomatch,,
TOBG_SAT-7,0,disagree,species,
TOBG_NAT-45,0,nomatch,,
TOBG_SP-3068,0,nomatch,,
TOBG_SP-3074,0,nomatch,,
TOBG_SAT-118,0,nomatch,,
TOBG_CPC-327,0,found,species,Bacteria;Proteobacteria;Alteromonadales;Gammaproteobacteria;Alteromonadaceae;Alteromonas;Alteromonas australica
TOBG_ARS-42,0,nomatch,,
TOBG_SP-155,0,found,species,Bacteria;Planctomycetes;Planctomycetales;Planctomycetia;Planctomycetaceae;Rubinisphaera;Rubinisphaera brasiliensis
TOBG_SP-3060,0,nomatch,,
TOBG_NP-66,0,nomatch,,
TOBG_SP-98,0,nomatch,,
TOBG_SP-191,0,nomatch,,
TOBG_NAT-51,0,nomatch,,
TOBG_MED-847,0,nomatch,,
TOBG_NP-1180,0,nomatch,,
TOBG_NP-19,0,nomatch,,
TOBG_SAT-63,0,found,genus,Bacteria;Proteobacteria;Oceanospirillales;Gammaproteobacteria;Alcanivoracaceae;Alcanivorax
TOBG_MED-727,0,nomatch,,
TOBG_MED-646,0,nomatch,,
TOBG_ARS-8,0,nomatch,,
TOBG_SP-362,0,nomatch,,
TOBG_EAC-674,0,nomatch,,
TOBG_RS-570,0,nomatch,,
TOBG_SAT-2,0,nomatch,,
TOBG_NAT-275,0,nomatch,,
TOBG_ARS-28,0,nomatch,,
TOBG_CPC-1397,0,nomatch,,
TOBG_NP-109,0,nomatch,,
TOBG_NAT-61,0,nomatch,,
TOBG_ARS-58,0,disagree,species,
TOBG_RS-354,0,disagree,species,
TOBG_SP-4272,0,nomatch,,
TOBG_RS-726,0,nomatch,,
TOBG_SAT-5,0,disagree,species,
TOBG_SP-68,0,nomatch,,
TOBG_SP-246,0,found,class,Bacteria;Proteobacteria;Sphingomonadales;Alphaproteobacteria
TOBG_EAC-54,0,found,genus,Bacteria;Actinobacteria;Propionibacteriales;Actinobacteria;Nocardioidaceae;Nocardioides
TOBG_SP-3040,0,nomatch,,
TOBG_SP-3056,0,nomatch,,
TOBG_ARS-1025,0,found,species,Archaea;Euryarchaeota;Marine Group III euryarchaeote CG-Bathy2
TOBG_RS-797,0,nomatch,,
TOBG_RS-427,0,found,genus,Bacteria;Cyanobacteria;Synechococcales;Synechococcaceae;Synechococcus
TOBG_SAT-2781,0,nomatch,,
TOBG_NP-51,0,nomatch,,
TOBG_EAC-635,0,nomatch,,
TOBG_NAT-11,0,nomatch,,
TOBG_ARS-1203,0,nomatch,,
TOBG_ARS-82,0,found,genus,Bacteria;Proteobacteria;Pseudomonadales;Gammaproteobacteria;Moraxellaceae;Psychrobacter
TOBG_RS-818,0,nomatch,,
TOBG_CPC-68,0,found,species,Bacteria;Proteobacteria;Cellvibrionales;Gammaproteobacteria;Halieaceae;Haliea;Haliea salexigens
TOBG_SAT-107,0,nomatch,,
TOBG_SP-3017,0,nomatch,,
TOBG_MED-791,0,nomatch,,
TOBG_SP-137,0,found,phylum,Bacteria;Proteobacteria
TOBG_ARS-60,0,nomatch,,
TOBG_MED-1233,0,nomatch,,
TOBG_EAC-107,0,nomatch,,
TOBG_SP-4027,0,nomatch,,
TOBG_SAT-2727,0,nomatch,,
TOBG_NP-94,0,found,species,Bacteria;Proteobacteria;Oceanospirillales;Gammaproteobacteria;Alcanivoracaceae;Alcanivorax;Alcanivorax jadensis
TOBG_SP-55,0,nomatch,,
TOBG_SAT-1508,0,nomatch,,
TOBG_SAT-115,0,nomatch,,
TOBG_NAT-95,0,nomatch,,
TOBG_CPC-34,0,found,species,Bacteria;Balneolaeota;Balneolales;Balneolia;Balneolaceae;Balneola;Balneola sp. EhC07
TOBG_SP-258,0,nomatch,,
TOBG_SAT-196,0,nomatch,,
TOBG_MED-690,0,nomatch,,
TOBG_RS-441,0,nomatch,,
TOBG_RS-398,0,nomatch,,
TOBG_ARS-15,0,nomatch,,
TOBG_SP-298,0,nomatch,,
TOBG_MED-665,0,nomatch,,
TOBG_NAT-169,0,found,genus,Bacteria;Actinobacteria;Corynebacteriales;Actinobacteria;Gordoniaceae;Gordonia
TOBG_NAT-283,0,nomatch,,
TOBG_SAT-1609,0,nomatch,,
TOBG_EAC-2006,0,nomatch,,
TOBG_MED-1223,0,nomatch,,
TOBG_RS-358,0,nomatch,,
TOBG_MED-693,0,found,species,Bacteria;Cyanobacteria;Synechococcales;Prochloraceae;Prochlorococcus;Prochlorococcus marinus
TOBG_SP-3096,0,nomatch,,
TOBG_SP-297,0,nomatch,,
TOBG_MED-809,0,nomatch,,
TOBG_NAT-156,0,nomatch,,
TOBG_RS-413,0,nomatch,,
TOBG_IN-961,0,nomatch,,
TOBG_SAT-60,0,nomatch,,
TOBG_SAT-140,0,nomatch,,
TOBG_ARS-1297,0,nomatch,,
TOBG_SP-4220,0,nomatch,,
TOBG_SAT-44,0,nomatch,,
TOBG_EAC-714,0,nomatch,,
TOBG_RS-449,0,nomatch,,
TOBG_ARS-1301,0,nomatch,,
TOBG_ARS-118,0,nomatch,,
TOBG_RS-444,0,nomatch,,
TOBG_SAT-123,0,nomatch,,
TOBG_SAT-1404,0,nomatch,,
TOBG_CPC-8,0,disagree,species,
TOBG_SAT-230,0,nomatch,,
TOBG_SAT-127,0,nomatch,,
TOBG_NAT-259,0,nomatch,,
TOBG_NP-59,0,nomatch,,
TOBG_NAT-630,0,nomatch,,
TOBG_NAT-199,0,nomatch,,
TOBG_ARS-37,0,nomatch,,
TOBG_NP-67,0,nomatch,,
TOBG_MED-724,0,nomatch,,
TOBG_SP-256,0,nomatch,,
TOBG_RS-377,0,nomatch,,
TOBG_MED-598,0,nomatch,,
TOBG_IN-921,0,nomatch,,
TOBG_NAT-63,0,nomatch,,
TOBG_CPC-46,0,found,species,Bacteria;Proteobacteria;Rhodobacterales;Alphaproteobacteria;Hyphomonadaceae;Oceanicaulis;Oceanicaulis sp. HTCC2633
TOBG_EAC-82,0,nomatch,,
TOBG_NAT-33,0,found,species,Bacteria;Proteobacteria;Rhodobacterales;Alphaproteobacteria;Rhodobacteraceae;Albimonas;Albimonas donghaensis
TOBG_SAT-190,0,nomatch,,
TOBG_CPC-7,0,found,species,Bacteria;Proteobacteria;Rhodobacterales;Alphaproteobacteria;Hyphomonadaceae;Hyphomonas;Hyphomonas sp. L-53-1-40
TOBG_NP-76,0,nomatch,,
