name,taxid,status,rank_info,lineage
TOBG_EAC-3,398743,found,species,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zunongwangia;Zunongwangia profunda
TOBG_NAT-119,84994,found,family,Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae
TOBG_NP-972,0,nomatch,,
TOBG_SAT-140,0,nomatch,,
TOBG_ARS-43,913336,found,species,Archaea;Euryarchaeota;Marine Group III euryarchaeote SCGC AAA288-E19
TOBG_ARS-1024,634436,found,species,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Aestuariibacter;Aestuariibacter aggregatus
TOBG_MED-734,1853230,found,family,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae
TOBG_SP-4246,200795,found,phylum,Bacteria;Chloroflexi
TOBG_MED-882,0,nomatch,,
TOBG_MED-868,1236,found,class,Bacteria;Proteobacteria;Gammaproteobacteria
TOBG_EAC-28,1236,found,class,Bacteria;Proteobacteria;Gammaproteobacteria
TOBG_MED-701,1236,found,class,Bacteria;Proteobacteria;Gammaproteobacteria
TOBG_SP-156,41295,found,family,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
TOBG_SP-147,41295,found,family,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
TOBG_MED-626,1236,found,class,Bacteria;Proteobacteria;Gammaproteobacteria
TOBG_RS-570,0,nomatch,,
TOBG_NP-951,580370,found,class,Bacteria;Proteobacteria;Zetaproteobacteria
TOBG_SP-239,41295,found,family,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
TOBG_CPC-3,126,found,family,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
TOBG_RS-413,200795,found,phylum,Bacteria;Chloroflexi
TOBG_NP-53,203494,found,class,Bacteria;Verrucomicrobia;Verrucomicrobiae
TOBG_NAT-1,0,nomatch,,
TOBG_NAT-92,232115,found,genus,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Mesonia
TOBG_NP-86,126,found,family,Bacteria;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae
TOBG_SAT-104,1868329,found,genus,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Xanthomarina
TOBG_EAC-25,0,nomatch,,
TOBG_EAC-6,453849,found,genus,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Hyphomonadaceae;Henriciella
TOBG_IN-26,1397666,found,species,Bacteria;Proteobacteria;Alphaproteobacteria;alpha proteobacterium RS24
TOBG_SP-52,203494,found,class,Bacteria;Verrucomicrobia;Verrucomicrobiae
TOBG_SP-118,31989,found,family,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
TOBG_NP-1271,0,nomatch,,
